date,transaction_date,month,year_month,week_key,day_name,day_order,hour,channel,total_transactions,total_message_units,billable_amount,success_count,failed_count,pending_count,rna_count,active_users
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,8,Call/IVR,10,10,840,1,0,0,9,6
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,8,Email,52,52,1850,41,1,10,0,14
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,8,SMS,21,21,10500,21,0,0,0,8
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,8,WhatsApp,42,42,9250,35,2,5,0,10
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,9,Call/IVR,13,13,1880,4,0,0,9,7
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,9,Email,51,51,1900,39,0,12,0,13
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,9,SMS,22,24,12000,22,0,0,0,8
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,9,WhatsApp,40,40,7800,37,0,3,0,14
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,10,Call/IVR,12,12,0,0,1,0,11,6
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,10,Email,44,44,1600,32,2,10,0,9
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,10,SMS,18,21,10500,18,0,0,0,7
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,10,WhatsApp,54,54,10000,49,1,4,0,16
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,11,Call/IVR,24,24,3720,4,0,0,20,11
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,11,Email,50,50,2000,42,1,7,0,13
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,11,SMS,13,20,10000,13,0,0,0,6
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,11,WhatsApp,52,52,11000,45,0,7,0,15
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,12,Call/IVR,13,13,1960,2,0,0,11,7
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,12,Email,55,55,2250,48,0,7,0,13
